1002	Canal Point Community Center	12860 U S Hwy 441	Canal Point, FL 33438	
6078	Western Pines Middle	5949 140th Ave N	Westlake, FL 33411	
6080	Golden Grove Elementary	5959 140th Ave N	Westlake, FL 33411	
6082	Seminole Ridge High	4601 Seminole Pratt Whitney Rd	Westlake, FL 33470	
6084	Oasis Church	16401 Southern Blvd	Loxahatchee, FL 33470	
6086	Oasis Church	16401 Southern Blvd	Loxahatchee, FL 33470	
6088	Seminole Ridge High	4601 Seminole Pratt Whitney Rd	Westlake, FL 33470	
6090	Loxahatchee Groves Elementary	16020 Okeechobee Blvd	Loxahatchee, FL 33470	
6092	Oasis Church	16401 Southern Blvd	Loxahatchee, FL 33470	
6094	Palms West Presbyterian	13689 Okeechobee Blvd	Loxahatchee, FL 33470	
6096	Palms West Presbyterian	13689 Okeechobee Blvd	Loxahatchee, FL 33470	
6098	HL Johnson Elementary	1000 Crestwood Blvd N	Royal Palm Beach, FL 33411	
6100	Madison Green Clubhouse	2003 Crestwood Blvd N	Royal Palm Beach, FL 33411	
6102	RPB Recreation Center	100 Sweet Bay Ln	Royal Palm Beach, FL 33411	
6104	Crestwood Middle	64 Sparrow Dr	Royal Palm Beach, FL 33411	
6106	RPB Recreation Center	100 Sweet Bay Ln	Royal Palm Beach, FL 33411	
6108	Calypso Bay Waterpark	151 Lamstein Ln	Royal Palm Beach, FL 33411	
6112	Crestwood Middle	64 Sparrow Dr	Royal Palm Beach, FL 33411	
6114	RPB Village Hall	1050 Royal Palm Beach Blvd	Royal Palm Beach, FL 33411	
6116	HL Johnson Elementary	1000 Crestwood Blvd N	Royal Palm Beach, FL 33411	
6118	RPB Branch Library	500 Civic Center Way	Royal Palm Beach, FL 33411	
6120	Royal Palm Beach High	10600 Okeechobee Blvd	Royal Palm Beach, FL 33411	
6122	RPB Cultural Center	151 Cultural Center Way	Royal Palm Beach, FL 33411	
6124	RPB Cultural Center	151 Cultural Center Way	Royal Palm Beach, FL 33411	
6126	Calypso Bay Waterpark	151 Lamstein Ln	Royal Palm Beach, FL 33411	
6128	Royal Palm Beach High	10600 Okeechobee Blvd	Royal Palm Beach, FL 33411	
6130	Royal Palm Beach High	10600 Okeechobee Blvd	Royal Palm Beach, FL 33411	
6132	Royal Palm Beach High	10600 Okeechobee Blvd	Royal Palm Beach, FL 33411	
6134	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6136	Calypso Bay Waterpark	151 Lamstein Ln	Royal Palm Beach, FL 33411	
6138	Royal Palm Beach High	10600 Okeechobee Blvd	Royal Palm Beach, FL 33411	
6140	Royal Palm Beach High	10600 Okeechobee Blvd	Royal Palm Beach, FL 33411	
6142	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6144	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6146	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6148	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6150	Binks Forest Elementary	15101 Bent Creek Rd	Wellington, FL 33414	
6152	Binks Forest Elementary	15101 Bent Creek Rd	Wellington, FL 33414	
6154	Wellington Landings Middle	1100 Aero Club Dr	Wellington, FL 33414	
6156	Binks Forest Elementary	15101 Bent Creek Rd	Wellington, FL 33414	
6158	Wellington Elementary	13000 Paddock Dr	Wellington, FL 33414	
6160	Wellington Landings Middle	1100 Aero Club Dr	Wellington, FL 33414	
6162	First Baptist Church Wel	12700 Forest Hill Blvd	Wellington, FL 33414	
6164	First Baptist Church Wel	12700 Forest Hill Blvd	Wellington, FL 33414	
6166	Wellington Community Center	12150 Forest Hill Blvd	Wellington, FL 33414	
6168	First Baptist Church Wel	12700 Forest Hill Blvd	Wellington, FL 33414	
6170	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6172	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6174	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6176	Christ Fellowship Church RPB	9905 Southern Blvd	Royal Palm Beach, FL 33411	
6178	Everglades Elementary	407 Marginal Rd	West Palm Beach, FL 33411	
6180	Everglades Elementary	407 Marginal Rd	West Palm Beach, FL 33411	
6182	New Horizons Elementary	13900 Greenbriar Blvd	Wellington, FL 33414	
6184	Wellington High	2101 Greenview Shores Blvd	Wellington, FL 33414	
6186	Elbridge Gale Elementary	1915 Royal Fern Dr	Wellington, FL 33414	
6188	Wellington Village Park	11700 Pierson Rd	Wellington, FL 33414	
6190	Wellington Village Hall	12300 Forest Hill Blvd	Wellington, FL 33414	
6192	St Peters Methodist Church	12200 W Forest Hill Blvd	Wellington, FL 33414	
6194	Equestrian Trails Elementary	9720 Stribling Way	Wellington, FL 33414	
6196	Palm Beach Central High	8499 W Forest Hill Blvd	Wellington, FL 33411	
6198	Wellington Branch Library	1951 Royal Fern Dr	Wellington, FL 33414	
6200	Emerald Cove Middle	9950 Stribling Way	Wellington, FL 33414	
6202	Emerald Cove Middle	9950 Stribling Way	Wellington, FL 33414	
6204	Emerald Cove Middle	9950 Stribling Way	Wellington, FL 33414	
6206	Palm Beach Central High	8499 W Forest Hill Blvd	Wellington, FL 33411	
6207	Palm Beach Central High	8499 W Forest Hill Blvd	Wellington, FL 33411	
6208	Buena Vida Clubhouse	1961 Via Buena Vida	Wellington, FL 33411	
6210	Villa Olympia Clubhouse	9100 Fatio Blvd	Wellington, FL 33414	
6212	Wellington Village Park	11700 Pierson Rd	Wellington, FL 33414	
6214	Wellington Village Park	11700 Pierson Rd	Wellington, FL 33414	
6216	Panther Run Elementary	10775 Lake Worth Rd	Lake Worth, FL 33467	
6218	Wellington Village Park	11700 Pierson Rd	Wellington, FL 33414	
6220	Wellington Village Park	11700 Pierson Rd	Wellington, FL 33414	
6222	Panther Run Elementary	10775 Lake Worth Rd	Lake Worth, FL 33467	
6224	Discovery Key Elementary	3550 Lyons Rd	Lake Worth, FL 33467	
6226	The Isles at Wellington	4325 Isles Vista Blvd	Wellington, FL 33449	
6228	Wycliffe Comm Association Bldg	4150 Wycliffe Country	Lake Worth, FL 33449	
6230	Epiphany Lutheran Church	4460 Lyons Rd	Lake Worth, FL 33467	
6232	Panther Run Elementary	10775 Lake Worth Rd	Lake Worth, FL 33467	
7002	J F Kennedy Middle	1901 Avenue S	Riviera Beach, FL 33404	
7004	J F Kennedy Middle	1901 Avenue S	Riviera Beach, FL 33404	
7006	J F Kennedy Middle	1901 Avenue S	Riviera Beach, FL 33404	
7008	J F Kennedy Middle	1901 Avenue S	Riviera Beach, FL 33404	
7010	St John Lutheran Church	241 Cypress Dr	Lake Park, FL 33403	
7012	St John Lutheran Church	241 Cypress Dr	Lake Park, FL 33403	
7014	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
7016	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
7018	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
7020	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
7022	J F Kennedy Middle	1901 Avenue S	Riviera Beach, FL 33404	
7024	Hurst Chapel AME Church	1617 Silver Beach Rd	Riviera Beach, FL 33404	
7025	Hurst Chapel AME Church	1617 Silver Beach Rd	Riviera Beach, FL 33404	
7026	Lindsey Davis Senior Comm Ctr	1550 W 28th St	Riviera Beach, FL 33404	
7028	Wells Recreation Center	2409 Avenue H W	Riviera Beach, FL 33404	
7030	Riviera Beach Marina Event Ctr	190 E 13th St	Riviera Beach, FL 33404	
7032	Crossroads Baptist Church	5710 N Haverhill Rd	West Palm Beach, FL 33407	
7034	Suncoast High	1717 Avenue S	Riviera Beach, FL 33404	
7036	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
7038	RB Prep Achievement Academy	7071 Garden Rd	Riviera Beach, FL 33404	
7040	Mary McLeod Bethune Elementary	1501 Avenue U	Riviera Beach, FL 33404	
7041	Mary McLeod Bethune Elementary	1501 Avenue U	Riviera Beach, FL 33404	
7042	Dan Calloway Complex	1420 W 10th St	Riviera Beach, FL 33404	
7044	Wells Recreation Center	2409 Avenue H W	Riviera Beach, FL 33404	
7046	Riviera Beach Marina Event Ctr	190 E 13th St	Riviera Beach, FL 33404	
7048	Crossroads Baptist Church	5710 N Haverhill Rd	West Palm Beach, FL 33407	
7050	Crossroads Baptist Church	5710 N Haverhill Rd	West Palm Beach, FL 33407	
7052	Crossroads Baptist Church	5710 N Haverhill Rd	West Palm Beach, FL 33407	
7054	Crossroads Baptist Church	5710 N Haverhill Rd	West Palm Beach, FL 33407	
7056	Crossroads Baptist Church	5710 N Haverhill Rd	West Palm Beach, FL 33407	
7058	Palm Beach Lakes High	3505 Shiloh Dr	West Palm Beach, FL 33407	
7060	Ephesus Junior Academy	4011 Northshore Dr	West Palm Beach, FL 33407	
7062	Mangonia Park Town Hall	1755 E Tiffany Dr	Mangonia Park, FL 33407	
7064	Grace Episcopal Church	3600 N Australian Ave	West Palm Beach, FL 33407	
7066	Northboro Elementary	400 40th St	West Palm Beach, FL 33407	
7068	Pleasant City Community Center	500 22nd St	West Palm Beach, FL 33407	
7070	Northboro Elementary	400 40th St	West Palm Beach, FL 33407	
7072	Egret Lake Elementary	5115 47th Pl N	West Palm Beach, FL 33417	
7074	Egret Lake Elementary	5115 47th Pl N	West Palm Beach, FL 33417	
7076	Egret Lake Elementary	5115 47th Pl N	West Palm Beach, FL 33417	
7078	Egret Lake Elementary	5115 47th Pl N	West Palm Beach, FL 33417	
7080	Egret Lake Elementary	5115 47th Pl N	West Palm Beach, FL 33417	
7082	Seminole Trails Elementary	4075 Willow Pond Rd	West Palm Beach, FL 33417	
7084	Sharon Christian Church	3443 N Haverhill Rd	West Palm Beach, FL 33417	
7086	Bear Lakes Middle	3505 Shenandoah Blvd	West Palm Beach, FL 33409	
7088	Whitehall Clubhouse #3	2641 Village Blvd	West Palm Beach, FL 33409	
7090	Bear Lakes Middle	3505 Shenandoah Blvd	West Palm Beach, FL 33409	
7092	Palm Beach Lakes High	3505 Shiloh Dr	West Palm Beach, FL 33407	
7094	Salvation Army Activity Hall	2122 Palm Beach Lakes Blvd	West Palm Beach, FL 33409	
7096	Salvation Army Activity Hall	2122 Palm Beach Lakes Blvd	West Palm Beach, FL 33409	
7098	U M Church of Palm Beaches	900 Brandywine Rd	West Palm Beach, FL 33409	
7100	U M Church of Palm Beaches	900 Brandywine Rd	West Palm Beach, FL 33409	
7102	First Christian Church	215 S Congress Ave	West Palm Beach, FL 33409	
7104	WPB City Fire Station #5	700 N Congress Ave	West Palm Beach, FL 33401	
7106	Roosevelt Elementary	1220 15th St	West Palm Beach, FL 33401	
7108	Chamber of Commerce	401 N Flagler Dr	West Palm Beach, FL 33401	
7110	Adult Education Center	2161 N Military Trl	West Palm Beach, FL 33409	
7112	Adult Education Center	2161 N Military Trl	West Palm Beach, FL 33409	
7114	Adult Education Center	2161 N Military Trl	West Palm Beach, FL 33409	
7116	Adult Education Center	2161 N Military Trl	West Palm Beach, FL 33409	
7118	Adult Education Center	2161 N Military Trl	West Palm Beach, FL 33409	
7120	U M Church of Palm Beaches	900 Brandywine Rd	West Palm Beach, FL 33409	
7122	U M Church of Palm Beaches	900 Brandywine Rd	West Palm Beach, FL 33409	
7124	First Christian Church	215 S Congress Ave	West Palm Beach, FL 33409	
7126	First Christian Church	215 S Congress Ave	West Palm Beach, FL 33409	
7128	Westward Elementary	1101 Golf Ave	West Palm Beach, FL 33401	
7130	Alexander W Dreyfoos SOA High	501 S Sapodilla Ave	West Palm Beach, FL 33401	
7132	WPB City Hall Flagler Gallery	401 Clematis St	West Palm Beach, FL 33401	
7134	Clayton Hutcheson Hall A	559 N Military Trl	West Palm Beach, FL 33415	
7136	Haverhill Town Hall	4585 Charlotte St	Haverhill, FL 33417	
7138	Westgate Community Center	3691 Oswego Ave	West Palm Beach, FL 33409	
7140	Haverhill Town Hall	4585 Charlotte St	Haverhill, FL 33417	
7142	Clayton Hutcheson Hall B	559 N Military Trl	West Palm Beach, FL 33415	
7144	Clayton Hutcheson Hall B	559 N Military Trl	West Palm Beach, FL 33415	
7146	Clayton Hutcheson Hall B	559 N Military Trl	West Palm Beach, FL 33415	
7148	Howard Park Community Center	1302 Parker Ave	West Palm Beach, FL 33401	
7149	Howard Park Community Center	1302 Parker Ave	West Palm Beach, FL 33401	
7150	Howard Park Community Center	1302 Parker Ave	West Palm Beach, FL 33401	
7152	WPB City Hall Flagler Gallery	401 Clematis St	West Palm Beach, FL 33401	
7154	Morton & Barbara Mandel Center	340 Seaview Ave	Palm Beach, FL 33480	
7156	PB Fire Station #3	2185 S Ocean Blvd	Palm Beach, FL 33480	
7158	PB Fire Station #3	2185 S Ocean Blvd	Palm Beach, FL 33480	
7160	South Grade Elementary	716 S K St	Lake Worth Beach, FL 33460	
7162	Osborne Community Center	1699 Wingfield St	Lake Worth Beach, FL 33460	
7164	Osborne Community Center	1699 Wingfield St	Lake Worth Beach, FL 33460	
7166	PB Fire Station #3	2185 S Ocean Blvd	Palm Beach, FL 33480	
7168	Maddock Park	1200 W Drew St	Lantana, FL 33462	
7170	Lantana Town Hall	500 Greynolds Cir	Lantana, FL 33462	
7172	Lantana Recreation Center	418 S Dixie Hwy	Lantana, FL 33462	
7174	Rolling Green Elementary	550 Miner Rd	Boynton Beach, FL 33435	
7175	Rolling Green Elementary	550 Miner Rd	Boynton Beach, FL 33435	
7176	Hypoluxo Town Hall	7580 S Federal Hwy	Hypoluxo, FL 33462	
7178	Temple Beth Kodesh	501 NE 26th Ave	Boynton Beach, FL 33435	
7179	Village Royale on the Green	2501 NE 1st Ct	Boynton Beach, FL 33435	
7180	St John Missionary Baptist Chr	900 N Seacrest Blvd	Boynton Beach, FL 33435	
7182	Carolyn Sims Center	225 NW 12th Ave	Boynton Beach, FL 33435	
7184	St John Missionary Baptist Chr	900 N Seacrest Blvd	Boynton Beach, FL 33435	
7186	Boynton Beach Senior Center	1021 S Federal Hwy	Boynton Beach, FL 33435	
7188	Forest Park Elementary	1201 SW 3rd St	Boynton Beach, FL 33435	
7190	Seacrest Presbyterian	2703 N Seacrest Blvd	Delray Beach, FL 33444	
7192	Lakeview Baptist Church	2599 N Swinton Ave	Delray Beach, FL 33444	
7194	Delray Beach Community Center	50 NW 1st Ave	Delray Beach, FL 33444	
7196	Atlantic High Auditorium	2455 W Atlantic Ave	Delray Beach, FL 33445	
7198	Atlantic High Auditorium	2455 W Atlantic Ave	Delray Beach, FL 33445	
7200	Pompey Park Recreation Center	1101 NW 2nd St	Delray Beach, FL 33444	
7202	505 Club	505 SE 5th Ave	Delray Beach, FL 33483	
7204	505 Club	505 SE 5th Ave	Delray Beach, FL 33483	
7206	505 Club	505 SE 5th Ave	Delray Beach, FL 33483	
7208	Atlantic High Media Center	2455 W Atlantic Ave	Delray Beach, FL 33445	
7210	Village Academy	400 SW 12Th Ave	Delray Beach, FL 33444	
7212	Delray Beach Library	100 W Atlantic Ave	Delray Beach, FL 33444	
7214	Delray Beach Community Center	50 NW 1st Ave	Delray Beach, FL 33444	
8001	Federal Only	242 S Military Trail	West Palm Beach, FL 33415	
8002	State Only	240 S Military Trail	West Palm Beach, FL 33415	
